full_name,selling_price,year,km_driven,mileage,engine,max_power,seats,company,company_enc,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual
Maruti Alto Std,1.2,2012,120000,19.7,796.0,46.3,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Hyundai Grand i10 Asta,5.5,2016,20000,18.9,1197.0,82.0,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Hyundai i20 Asta,2.15,2010,60000,17.0,1197.0,80.0,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Maruti Alto K10 2010-2014 VXI,2.26,2012,37000,20.92,998.0,67.1,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,2015,30000,22.77,1498.0,98.59,5,Ford,6.252057132401498,False,False,True,False,False,False,True
Maruti Wagon R VXI BS IV,3.5,2013,35000,18.9,998.0,67.1,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Hyundai i10 Sportz 1.2,3.15,2013,40000,20.36,1197.0,78.9,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Maruti Wagon R VXI,4.1,2018,17512,20.51,998.0,67.04,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Hyundai Venue SX Plus Turbo DCT BSIV,10.5,2019,20000,18.15,998.0,118.35,5,Hyundai,5.348761685250852,True,False,False,False,False,True,False
Mahindra TUV 300 T6,5.75,2017,70000,18.49,1493.0,100.0,7,Mahindra,7.210647709297036,False,False,True,False,False,False,True
Tata Indigo LX (TDI) BS-III,3.05,2015,50000,19.09,1405.0,69.01,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Renault Captur Platine Dual Tone Diesel,11.5,2019,18000,20.37,1461.0,108.49,5,Renault,4.6202908684705735,True,False,True,False,False,False,True
Maruti Swift VXI with ABS,5.11,2017,28321,16.6,1197.0,85.0,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Nissan Micra XL CVT,4.1,2016,27000,19.34,1198.0,76.0,5,Nissan,4.698757187095724,False,False,False,False,False,True,False
Hyundai Verna 1.6 SX,4.25,2013,65278,22.32,1582.0,126.32,5,Hyundai,5.348761685250852,False,False,True,False,False,False,True
Renault Duster 110PS Diesel RxL Explore,7.5,2016,50000,19.64,1461.0,108.45,5,Renault,4.6202908684705735,True,False,True,False,False,False,True
Mini Cooper Cooper S,32.5,2017,6000,14.41,1998.0,189.08,5,Mini,23.046835590933377,False,False,False,False,False,True,False
Maruti Ciaz ZDi Plus SHVS,6.5,2016,76000,28.09,1248.0,88.5,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Maruti Swift VDI BSIV,6.27,2016,20000,25.2,1248.0,74.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,2014,65000,19.27,2143.0,170.0,5,Mercedes-Benz,24.96154654611922,False,False,True,False,False,False,False
Maruti Swift VDI,4.25,2014,62200,28.4,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05,2013,110000,12.99,2494.0,100.6,8,Toyota,11.265205016960472,True,False,True,False,False,False,True
Maruti Baleno Zeta 1.2,6.0,2015,20000,21.4,1197.0,83.1,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti Swift Dzire VXI,5.75,2016,40000,20.85,1197.0,83.14,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,2012,97000,17.8,1248.0,76.0,5,Fiat,3.2989729988697767,True,False,True,False,False,False,True
Volkswagen Vento 1.6 Comfortline BSIV,4.25,2013,47000,16.09,1598.0,103.2,5,Volkswagen,5.650061220319048,False,False,False,False,False,True,True
Maruti Alto K10 2010-2014 VXI,2.3,2013,25000,20.92,998.0,67.1,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Hyundai Creta 1.6 CRDi SX,12.25,2019,15000,19.67,1582.0,126.2,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Mahindra Xylo H9,3.75,2010,56823,14.02,2179.0,118.3,8,Mahindra,7.210647709297036,False,False,True,False,False,False,True
Honda City i VTEC VX,7.5,2015,50000,17.4,1497.0,117.3,5,Honda,6.041270410937343,True,False,False,False,False,True,True
Mahindra Bolero SLE BSIII,3.5,2011,25000,13.6,2523.0,63.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Maruti Swift Dzire VDI,6.0,2015,90000,26.59,1248.0,74.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Maruti Swift Dzire LDI,3.9,2013,45000,26.59,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Honda City 2017-2020 GXi,1.45,2007,77253,17.7,1497.0,78.0,5,Honda,6.041270410937343,False,False,False,False,False,True,True
Hyundai i20 Active 1.2 SX,7.0,2018,25000,17.19,1197.0,81.86,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Toyota Fortuner 4x2 Manual,11.5,2013,110000,13.0,2982.0,168.5,7,Toyota,11.265205016960472,True,False,True,False,False,False,True
Renault KWID Climber 1.0 MT,3.4,2017,30000,23.01,999.0,67.0,5,Renault,4.6202908684705735,True,False,False,False,False,True,True
Honda Amaze S Petrol,4.65,2016,39993,18.6,1199.0,88.76,5,Honda,6.041270410937343,False,False,False,False,False,True,True
Hyundai Santro Xing GLS,1.25,2009,80000,17.92,1086.0,62.1,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Mahindra XUV500 W8 2WD,6.0,2012,185000,15.1,2179.0,140.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Maruti Swift Dzire VDI,3.8,2013,90000,23.4,1248.0,74.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Mahindra Xylo E8,4.0,2009,60000,14.0,2498.0,112.0,8,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Chevrolet Sail 1.3 Base,3.0,2014,90000,22.1,1248.0,74.0,5,Chevrolet,2.7381398767127534,True,False,True,False,False,False,True
Hyundai Xcent 1.2 Kappa SX,5.0,2015,20000,19.1,1197.0,82.0,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Hyundai i20 1.4 Asta Option,8.5,2018,15000,22.54,1396.0,88.73,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
